institution,codigo,name,classification,type,departamento,provincia,distrito,ubigeo,address,codigo_DISA,red,microred,category,phone,opening_hours,longitude,latitude
Privado,7923,Policlinico Solidario,Policlinicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Pacasmayo Mz 6 Lt 33 Urbanizacion Olivar,8,0,0,Sin categoria,5746449,8:00 - 13:00 - 15:00,-79.99231,-5.23761
Privado,7994,Paul Kart Cardenas Casas,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Pacasmayo N° 155,8,0,0,Sin categoria,01-4840351,8:00 - 20:00,-78.43715,-6.5362
Privado,8007,Consultorio Obstetrico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Jose Carlos Mariategui S/N Mza. 33 - Lote 22 Marquez,8,0,0,I-1,01-5776936,8:00 - 20:00,-78.37406,-5.93447
Privado,7918,Laboratorio de Analisis Clinico Luis Nakandakari,Patologia clinica,Servicio medico de apoyo,Callao,Callao,Callao,70101,Avenida Saenz Peña N°733 Oficina 211 Distrito Callao Provincia Callao Departamento Callao ,8,0,0,Sin categoria,4659303,8:00-14:00  y 17-19,-77.76298,-10.75406
Privado,7919,Consultorio Dental,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Saenz Peña N°629 Oficina 205,8,0,0,Sin categoria,4690443,10:30 - 13:00 - 16:3,-77.71378,-10.79965
Sanidad del Ejercito del Peru,9445,Centro de Salud de la Legion Peruana de la Guardia,Policlinicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Adolfo King S/N Fortaleza Militar Real Felipe,8,0,0,I-2,4291328,24 HORAS,-77.1477788,-12.0612929
Gobierno Regional,6668,Sanidad Maritima,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Jirón Miller  N° 175,8,0,0,I-2,4291089,24 HORAS,-77.14473313,-12.06067896
Essalud,18306,Alberto Leopoldo Barton Thompson,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Av.. Saenz Peña  345 -373 Callao Callao Callao ,8,0,0,I-2,2074700,7:00 - 19:00,-77.1435799,-12.061051
Gobierno Regional,6221,Alberto Barton,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Calle Manuel Raygada N° 515,8,1,1,I-3,4656242,8:00 - 19:00,-77.13882432,-12.05394219
Gobierno Regional,6220,C.S. Manuel Bonilla,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Almirante Miguel Grau N° 1015 Distrito Callao Provincia Callao Departamento Callao ,8,1,1,I-3,4655631,8:00 - 19:00,-77.13794025,-12.06225097
Sanidad de la Marina de Guerra del Peru,10258,Hospital de la Base Naval del Callao,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Callao,Callao,Callao,70101,Avenida Contralmirante Mora S/N Base Naval del Callao,8,0,0,I-4,2016230,8:00 - 17:00,-77.13737167,-12.03501833
Gobierno Regional,6226,Puerto Nuevo,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Grau S/N Aa.Hh. Puerto Nuevo,8,1,1,I-2,4201471,8:00 - 14:00,-77.13717664,-12.04658449
Gobierno Regional,6230,Centro de Salud Acapulco,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Callao,Callao,Callao,70101,Avenida Jose Galvez S/N Cmte.8 - Pp.Jj. Acapulco Numero S/N Distrito Callao Provincia Callao Departamento Callao ,8,1,5,I-4,(51) 1-4290059,24 HORAS,-77.13692002,-12.02215478
Gobierno Regional,6238,C.S. Marquez,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Callao,Callao,Callao,70101,Avenida los Alamos  S/N - Marquez,8,3,4,I-4,998040688,8:00 - 20:00,-77.13418214,-11.94257438
Gobierno Regional,20823,Centro Regional de Bienestar Emocional Y Salud Mental,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Ramiro Priale S/N,8,1,5,I-2,4538688,8:00 - 14:00 H,-77.13413473,-12.02307765
Gobierno Regional,6225,San Juan Bosco,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Contralmirante Mora Cdra. 5 (CALLE Nauta 122),8,1,1,I-2,4536686,8:00 - 14:00,-77.13307953,-12.04850915
Gobierno Regional,6233,Juan Pablo Ii,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Aa.Hh.Juan Pablo Ii  (ALT.AV.GAMBETTA Km 2.5),8,1,5,I-2,4534213,8:00 - 19:00,-77.12919833,-12.0265051
Municipalidad Provincial,7925,Centro de Salud - Sociedad de Beneficencia Publica del Callao,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Dos de Mayo N° 272 - 276 Avenida Dos de Mayo N° 272 - 276 Callao Callao Callao ,8,0,0,I-3,4533726,07:50 - 14:00,-77.12899999,-12.05423635
Gobierno Regional,6244,P.S. 200 Millas,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Mz L  Lote 3-4  I  Etap. Urb.200 Millas  (KM.5.5 Av.Gambetta),8,2,1,I-2,998031890,8:00 - 2:00,-77.12492365,-11.99509597
Gobierno Regional,6223,Santa Fe,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Alfredo Palacios Cdra. 5 (REF. Cementerio Baqu�Jano Antes de Llegar A la Avenida Guardia Chalaca),8,1,2,I-3,01-4536677,8:00 - 19:00,-77.1232842,-12.05410129
Gobierno Regional,6231,Ramon Castilla,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Jirón Cuzco S/N Pp.Jj. Ramon Castilla,8,1,6,I-2,4656195,8:00 - 14:00,-77.12248919,-12.0410186
Gobierno Regional,6243,Faucett,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Calle  3 S/N  - Urb. Faucett,8,2,1,I-2,5771321,8:00 - 19:00,-77.12085548,-11.99616332
Gobierno Regional,6768,Palmeras de Oquendo,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Calle Calle Marlen Mz H2-Lote 5 Y 6 Distrito Callao Provincia Callao Departamento Callao ,8,2,1,I-2,9987515084,8:00 AM A 19:00 PM,-77.12072418,-11.97311497
Gobierno Regional,6228,Nestor Gambetta,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Callao,Callao,Callao,70101,Avenida Alameda S/N Pp.Jj. Gambetta Alta,8,1,6,I-4,4200286,24 HORAS,-77.12024461,-12.04253586
Gobierno Regional,6224,Jose Boterin,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Parque Parque  N° 3 Aa.Hh. Jose Boterin Distrito Callao Provincia Callao Departamento Callao ,8,1,2,I-2,4293028,8:00 - 14:00,-77.11991231,-12.05330245
Privado,8010,Consultorio Medico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Mza. L-Lote 48 Psaje. Abancay-Urb. San Juan Masias,8,0,0,Sin categoria,01-5771610,8:00 - 20:00,-77.1181976,-11.9965938
Gobierno Regional,6234,Santa Rosa,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida T. Amaru Gdia.Chalaca S/N Minicompl. Sta.Rosa,8,1,3,I-2,4537822,8:00 - 19:00,-77.11113384,-12.04586988
Privado,8009,Laboratorio Clinico Inmunologico Cantella Sac,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Argentina N° 3093-1 Pabellon 2-Local 227 Mercados Minka,8,0,0,Sin categoria,01-6168300,8:00 - 16:00,-77.1104582,-12.0473608
Essalud,18319,Alberto Leopoldo Barton Thompson,Hospitales o clinicas de atencion general,Establecimiento de salud con internamiento,Callao,Callao,Callao,70101,Avenida Argentina  3525 Callao Callao Callao ,8,0,0,II-2,2074700,24 HORAS,-77.1076748,-12.0491962
Gobierno Regional,6246,C.S. El Alamo,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Mz.  S/N   Urb. El Alamo,8,2,2,I-2,998715220,8:00 AM A 20:00 PM,-77.10733774,-12.00186975
Gobierno Regional,6669,Sanidad Aerea Internacional,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Otros Aeropuerto Internacional Jorge Chavez Distrito Callao Provincia Callao Departamento Callao ,8,0,0,I-2,01-5751745,24 HORAS,-77.10706942,-12.02028307
Gobierno Regional,6235,Miguel Grau,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Alt. Cdra.10 Av.Tupac Amaru - Pp.Jj. Miguel Grau,8,1,3,I-2,01-5623230,8:00 - 14:00,-77.10425695,-12.04578311
Gobierno Regional,6222,Callao,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Calle Canchones N° 294 - Urb.Tarapaca,8,1,2,I-2,4518819,8:00 - 19:00,-77.1028097,-12.05194895
Gobierno Regional,6229,Jose Olaya,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Jirón Junin Pp.Jj. Jose Olaya,8,1,3,I-2,4521165,8:00 - 18:00,-77.10229217,-12.04410725
Gobierno Regional,6248,P.S. Poligono Iv,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Aa.Hh. Bocanegra - Sector V,8,2,3,I-2,996207958,8:00 - 14:00,-77.10084785,-12.02515855
Gobierno Regional,6241,Aeropuerto,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Jirón Salaverry S/N - Aa.Hh. Aeropuerto,8,2,3,I-2,5722724,8:00 - 20:00,-77.09902777,-12.03365706
Essalud,10533,Complejo Asistencial Luis Negreiros Vega,Hospitales o clinicas de atencion general,Establecimiento de salud con internamiento,Callao,Callao,Callao,70101,Avenida Tomas Valle Dra.39 - Urb. Vipol,8,0,0,II-2,01-5748989,24 HORAS,-77.0979946,-12.0157493
Essalud,7948,Essalud - Red Asistencial Sabogal - Cap Ii Luis Negreiros Vega,Policlinicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Tomas Valle Cdra 34 S/N,8,0,0,I-2,5788989,8:00 - 22:00,-77.097146,-12.0150475
Gobierno Regional,6239,C.S.Sesquicentenario,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Calle 3 S/N Urb. Sesquicentenario,8,2,2,I-3,998713935,8:00 - 20:00,-77.09673001,-12.00969499
Gobierno Regional,6245,P.S. Bocanegra,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Aa.Hh. Bocanegra - Plaza Civica,8,2,2,I-2,99874134,8:00 - 20:00,-77.09642349,-12.02421866
Gobierno Regional,6242,Puesto de Salud Playa Rimac,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Calle Bolognesi Y Jose Santos Chocano S/N,8,2,3,I-2,998715289,8:00 - 14:00,-77.0963773,-12.03794156
Gobierno Regional,6240,P.S. Previ,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Calle Central S/N,8,2,2,I-2,998715051,8:00 - 19:00,-77.09072326,-12.01652914
Privado,7968,Consultorio Preventivo de Salud,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Jirón Antonio Miroquesada N° 1127,8,0,0,Sin categoria,01-4651269,8:00 - 20:00,-77.0521443,-11.9069324
Privado,7917,Centro Medico Cd-Lab,Patologia clinica,Servicio medico de apoyo,Callao,Callao,Callao,70101,Avenida El Olivar Manzana 20 Lote 10 Urbanizacion Previ,8,0,0,Sin categoria,4847585,8:00 - 22:00,-77.0397395,-11.9137202
Privado,7998,Consultorio Medico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Dos Mayo N° 270 - 2� Piso Distrito Callao Provincia Callao Departamento Callao ,8,0,0,I-2,01-4730645,9:00 - 19:00,-76.9534718,-12.1958145
Privado,8018,Consultorio Medico Dental,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida la Chalaca Mza. C1-Lote 12 Urb. 03 de Octubre,8,0,0,I-2,01-4527944,9:00 - 21:00,-76.50723,-11.94258
Privado,7932,Biolab  Diagnostico S.A.C.,Centros medicos especializados,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida los Dominicos Mza. Q - Lote 12 Piso Er Urb. Santa Rosa,8,0,0,Sin categoria,01-5231160,8:00 - 20:00,-75.76836,-12.81222
Privado,8001,Consultorio Medico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida los Dominicos N° 197-Urb. Previ,8,0,0,Sin categoria,01-988166455,CONSULTORIO MEDICO L,-72.8793,-13.63688
Privado,8004,Consultorio Odontologico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Saenz N° 744-2do Piso,8,0,0,I-1,01-7724127,8:00 - 20:00,-71.38826,-16.39271
Privado,7986,Consultorio Odontologico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Tomas Valle -EDIFICIO 20 Izq. Tienda 113 Conjunto Habitacional Santa Rosa Ciudad Satelite,8,0,0,Sin categoria,01-2626006,8:00 - 20:00,-69.26159,-12.56886
Privado,7985,Consultorio Medico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Callao,70101,Avenida Cesar Vallejo Mza. G - Lote 28,8,0,0,I-2,01-5744726,8:00 - 20:00,-69.21242,-12.53268
Privado,8011,Centro Medico San Gabriel,Policlinicos,Establecimiento de salud sin internamiento,Callao,Callao,Carmen de la legua-reynoso,70103,Avenida Jose Santos Chocano N°133-,8,0,0,I-3,01-7880148,8:00 - 20:00,-78.39114,-5.69304
Gobierno Regional,6219,Hospital San Jose,Hospitales o clinicas de atencion general,Establecimiento de salud con internamiento,Callao,Callao,Carmen de la legua-reynoso,70103,Jirón Las Magnolias 475 Distrito Carmen de la Legua-Reynoso Provincia Callao Departamento Callao ,8,2,0,II-2,3197830,24 HORAS,-77.09846168,-12.04273444
Gobierno Regional,6252,C.S. Carmen de la Legua,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Carmen de la legua-reynoso,70103,Avenida Manco Capac  Cdra. 8,8,2,4,I-3,01-4518719,8:00 - 19:00,-77.09011698,-12.04001323
Gobierno Regional,6253,Villa Sr. de los Milagros,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Carmen de la legua-reynoso,70103,Pje Villa Sr de los Milagros,8,2,4,I-3,01-4522272,8:00 - 19:00,-77.08542386,-12.04196315
Privado,8025,Policlinico Especializado en Neurologia S.A.C,Centros medicos especializados,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Calle Morro de Arica 172,8,0,0,I-3,01-4295499,07:00 - 19:00,-78.94234,-6.272
Privado,7999,Consultorio  Odontologico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Avenida la Paz 2321,8,0,0,Sin categoria,01-4570999,8:00 - 20:00,-78.90261,-5.43068
Gobierno Regional,6251,P.S. la Perla,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Alfonso Ugarte N° 1150,8,2,4,I-2,4537459,8:00 - 19:00,-77.12476464,-12.06920504
Sanidad del Ejercito del Peru,8807,Servicio de Sanida-Colegio Militar Leoncio Prado,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Callao,Callao,La perla,70104,Avenida Costanera 1541,8,0,0,I-2,01-4204120,24 HORAS,-77.1185144,-12.0757713
Gobierno Regional,6250,C.S. Alta Mar,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Avenida Dos de Mayo N° 640,8,2,4,I-3,96499631,8:00-19:00,-77.11778466,-12.06951429
Privado,7931,Consultorio Odontologico Gaspar Pardo,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Calle Juan Jose Pardo N° 130 Urbanizacion Luis German Astete,8,0,0,Sin categoria,4570607,8:00 - 22:00,-75.87348,-12.34389
Privado,8023,Consultorio Medico Pacifico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Avenida Pacifico N° 420 Urb. Alta Mar,8,0,0,I-2,01-99655463,9:00 - 18:00,-71.42443,-16.39137
Privado,7982,Consultorio Odontologico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Ca. Huamachuco Mza. C Lote 6 ( 1 Cdra.),8,0,0,Sin categoria,01-4204815,9:00 - 21:00,-71.30888,-14.53454
Privado,7997,Policlinico Callao,Policlinicos,Establecimiento de salud sin internamiento,Callao,Callao,La perla,70104,Avenida Jose Galvez N° 1690,8,0,0,I-2,01-4296747,8:00 - 20:00,-70.48274,-12.67681
Privado,7993,Policlinico Mi Jesus  E.R.I.L.,Policlinicos,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Ca. 21 Mza. N - Lote 02 Aa.Hh. Villa los Reyes,8,0,0,I-3,01-5273586,8:00 - 20:00,-79.11453,-6.35271
Privado,7983,Consultorio Odontologico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Avenida Las Dalias Mza. 73 - Lote 30,8,0,0,I-1,01-4881035,9:00 - 21:00,-78.84556,-6.32376
Privado,7980,Policlinico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,A.H. Keiko Sofia Mza. U1- Lote 9,8,0,0,I-3,01-5500372,9:00 - 18:00,-78.74118,-5.95635
Gobierno Regional,6266,03 de Febrero,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Mza V S/N Grupo Residencial B3 Sector B Proyecto Piloto Nuevo Pachacutec,8,3,6,I-3,#342496,8:00-19:00,-77.15931907,-11.82924006
Gobierno Regional,6267,P.S. Ciudad Pachacutec,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Mza.G -LOTE3 Aahh la Union Pachacutec,8,3,6,I-2,998713468,8:00 - 19:00 H,-77.15225242,-11.84677854
Gobierno Regional,7314,Materno Infantil Pachacutec  Peru-Corea,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Callao,Callao,Ventanilla,70106,Otros Mz. X Lte. 1 Aa.Hh Hiroshima Distrito Ventanilla Provincia Callao Departamento Callao ,8,3,6,I-4,996499790,24 HORAS,-77.1419038,-11.83265968
Gobierno Regional,6268,P.S. Defensores de la Patria,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Mza E4 - Lote 7 Aa.Hh. Defensores de la Patria,8,3,2,I-3,996549863,8:00 - 19:00,-77.13753281,-11.87633106
Gobierno Regional,6258,P.S. Ventanilla Baja,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Avenida 11 de Agosto Aa.Hh. Victor Raul Haya de la Torre Distrito Ventanilla Provincia Callao Departamento Callao ,8,3,4,I-2,998040727,8:00 - 14:00,-77.13233156,-11.93678794
Gobierno Regional,6262,P.S. Hijos del Almirante Grau,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Calle 10 Mza Y S/N Aahh Hijos de Grau,8,3,2,I-2,998714460,8:00 - 19:00,-77.13208529,-11.88563281
Gobierno Regional,6261,P.S. Luis Felipe de Las Casas,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Otros los Alisos - Eucaliptos Distrito Ventanilla Provincia Callao Departamento Callao ,8,3,7,I-2,998714792,8:00 - 19:00,-77.13188278,-11.82445218
Gobierno Regional,6257,Angamos,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Interseccion  Avenida B Y Calle 8 S/N Ii Sector Angamos,8,3,2,I-2,5530884,8:00 - 19:00,-77.12773026,-11.89274295
Gobierno Regional,6263,P.S. Santa Rosa de Pachacutec,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Mza. P.O. Lote 1 Aa.Hh. Santa Rosa de Pachacutec,8,3,6,I-2,98715202,8:00 - 19:00,-77.12750905,-11.84707868
Gobierno Regional,7126,Hospital de Ventanilla,Hospitales o clinicas de atencion general,Establecimiento de salud con internamiento,Callao,Callao,Ventanilla,70106,Avenida Pedro Beltran  Calle 3 S/N (REF. Al Costado Co,8,3,0,II-1,ACTUALIZAR,24 HORAS,-77.12572429,-11.87298251
Essalud,8146,Policlinico Hermana Maria Donrose Sutm�Ller,Policlinicos,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Avenida Gonzales Ganoza S/N I Sector Izquierdo Urb Antonio Moreno de Caceres Numero S/N Distrito Ventanilla Provincia Callao Departamento Callao ,8,0,0,I-3,5534245,24 HORAS,-77.124338,-11.886491
Gobierno Regional,6256,Centro de Salud Villa los Reyes,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Callao,Callao,Ventanilla,70106,Mza. N1  S/N Sector 1 Aa.Hh. Villa los Reyes,8,3,7,I-4,998714931,24 HORAS,-77.12271214,-11.82855773
Gobierno Regional,6259,P.S.Ventanilla Este,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Primera Etapa Aa.Hh. Parque Porcino,8,3,4,I-2,998040766,8:00 - 14:00,-77.11760677,-11.94239104
Gobierno Regional,6255,P.S. Ventanilla Alta,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Avenida Central  Mza L S/N- Ventanilla,8,3,2,I-2,998040670,8:00 - 19:00,-77.10995729,-11.87255066
Privado,8002,Servicios Integrales Sosa Sac,Diagnostico por imagenes,Servicio medico de apoyo,Callao,Callao,Ventanilla,70106,Avenida Pedro Beltran N° 141,8,0,0,Sin categoria,01-5535374,8:00 - 20:00,-76.77238,-9.49775
Privado,7988,Alberto Aroni Bazan,Centros opticos,Servicio medico de apoyo,Callao,Callao,Ventanilla,70106,Avenida Pedro Beltran N° 125 Urb. Satelite,8,0,0,Sin categoria,01-5531990,8:00 - 20:00,-74.74515,-12.14671
Privado,7987,Policlinico,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Avenida Huaura Mza. A12-Lote 2 Mi Peru,8,0,0,I-3,01-5537264,9:00 - 22:00,-74.64554,-12.7126
Privado,8005,Consultorio de Terapia de Lenguaje,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Callao,Callao,Ventanilla,70106,Mza. A -LOTE-B-I Sector Izquierdo Urb. A. Moreno de Caceres,8,0,0,I-1,01-7638251,09:00 - 17:00,-72.68608,-16.63388
Gobierno Regional,2317,Acomayo,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Cusco,Acomayo,Acomayo,80201,Avenida Francisco Bolognesi S/N / Acomayo / Acomayo / Cusco S/N Avenida Francisco Bolognesi S/N / Acomayo / Acomayo / Cusco Acomayo Acomayo Cusco ,11,1,13,I-4,954957399,"08:00 A 20:00 HORAS,",-71.68282833,-13.916675
Gobierno Regional,2318,Acopia,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Cusco,Acomayo,Acopia,80202,Jirón San Vicente 312 / Acopia / Acomayo / Cusco Jirón San Vicente 312 / Acopia / Acomayo / Cusco Acopia Acomayo Cusco ,11,1,13,I-1,979396660,"08:00 A 20:00 HORAS,",-71.49256,-14.05894
Gobierno Regional,2319,Acos,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Cusco,Acomayo,Acos,80203,Avenida Finlandia S/N / Acos / Acomayo / Cusco S/N Avenida Finlandia S/N / Acos / Acomayo / Cusco Acos Acomayo Cusco ,11,1,13,I-1,084 278129,"08:00 A 20:00 HORAS,",-71.73309333,-13.94986333
Gobierno Regional,2320,Mosocllacta,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Cusco,Acomayo,Mosoc llacta,80204,Calle Calle Asuncion Sin Numero / Mosocllacta / Acomayo / Cusco Calle Asuncion Sin Numero / Mosocllacta / Acomayo / Cusco Mosoc Llacta Acomayo Cusco ,11,4,3,I-1,#984880070,08:OO A 15:00 HORAS ,-71.4732674,-14.1201825
Gobierno Regional,12926,Santa  Lucia,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Cusco,Acomayo,Pomacanchi,80205,Otros Comunidad Campesina de Santa Lucia Comunidad Campesina de Santa Lucia Pomacanchi Acomayo Cusco ,11,1,13,I-1,956258985,08.00 A 20.00 HORAS ,-71.70393951,-14.0670912
Gobierno Regional,2322,San Juan de Pomacanchi,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Cusco,Acomayo,Pomacanchi,80205,Calle Calle San Martin S/N / Pomacanchi / Acomayo / Cusco S/N Calle San Martin S/N / Pomacanchi / Acomayo / Cusco Pomacanchi Acomayo Cusco ,11,1,13,I-1,966343035,"08:00 A 15:00 HORAS,",-71.66390394,-14.11516746
Gobierno Regional,2321,Pomacanchi,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Cusco,Acomayo,Pomacanchi,80205,Calle Calle Cultura S/N / Pomacanchi / Acomayo / Cusco S/N Calle Cultura S/N / Pomacanchi / Acomayo / Cusco Pomacanchi Acomayo Cusco ,11,1,13,I-4,969776751,"08:00 A 20:00 HORAS,",-71.56901833,-14.03317667
Gobierno Regional,2323,Rondocan,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Cusco,Acomayo,Rondocan,80206,Calle Calle los Rosales S/N / Rondocan / Acomayo / Cusco S/N Calle los Rosales S/N / Rondocan / Acomayo / Cusco Rondocan Acomayo Cusco ,11,1,16,I-3,084-830458 ,"08:00 A 18:00 HORAS,",-71.78222687,-13.77885158
Gobierno Regional,2324,Sangarara,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Cusco,Acomayo,Sangarara,80207,Avenida 16 de Noviembre S/N / Sangarar� / Acomayo / Cusco S/N Avenida 16 de Noviembre S/N / Sangarar� / Acomayo / Cusco Sangarara Acomayo Cusco ,11,1,13,I-1,993078106,"08:00 A 18:00 HORAS,",-71.60147667,-13.95230667
Gobierno Regional,2325,Marcaconga,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Cusco,Acomayo,Sangarara,80207,Avenida Bel�N S/N / Sangarar� / Acomayo / Cusco S/N Avenida Bel�N S/N / Sangarar� / Acomayo / Cusco Sangarara Acomayo Cusco ,11,1,13,I-2,1610#,"08:00 A 18:00 HORAS,",-71.56254167,-13.97628167
